date,state,positive,negative
20200717,FL,327241,2553527
20200716,FL,315775,2499843
20200715,FL,301810,2434143
20200714,FL,291629,2393614
20200713,FL,282435,2357139
20200712,FL,269811,2304196
20200711,FL,254511,2220788
20200710,FL,244151,2177476
20200709,FL,232718,2124680
20200708,FL,223783,2096424
20200707,FL,213794,2055400
20200706,FL,206447,2027493
20200705,FL,200111,2000088
20200704,FL,190052,1956445
20200703,FL,178594,1902766
20200702,FL,169106,1863077
20200701,FL,158997,1821357
20200630,FL,152434,1792561
20200629,FL,146341,1766402
20200628,FL,141075,1740822
20200627,FL,132545,1696980
20200626,FL,122960,1645925
20200625,FL,114018,1606626
20200624,FL,109014,1559328
20200623,FL,103503,1537249
20200622,FL,100217,1517270
20200621,FL,97291,1502005
20200620,FL,93797,1467475
20200619,FL,89748,1443123
20200618,FL,85926,1425386
20200617,FL,82719,1403040
20200616,FL,80109,1380200
20200615,FL,77326,1352858
20200614,FL,75568,1333447
20200613,FL,73552,1296861
20200612,FL,70971,1264928
20200611,FL,69069,1237679
20200610,FL,67371,1211652
20200609,FL,66000,1192305
20200608,FL,64904,1169646
20200607,FL,63938,1152220
20200606,FL,62758,1111427
20200605,FL,61488,1073452
20200604,FL,60183,1046860
20200603,FL,58764,1022149
20200602,FL,57447,992305
20200601,FL,56830,983570
20200531,FL,56163,965186
20200530,FL,55424,939544
20200529,FL,54497,928742
20200528,FL,53285,898331
20200527,FL,52634,880937
20200526,FL,52255,870969
20200525,FL,51746,856489
20200524,FL,50867,820368
20200523,FL,50127,806310
20200522,FL,49451,786045
20200521,FL,48675,765254
20200520,FL,47471,723877
20200519,FL,46944,668911
20200518,FL,46442,629970
20200517,FL,45588,606204
20200516,FL,44811,585236
20200515,FL,43210,565627
20200514,FL,43210,565627
20200513,FL,42402,552361
20200512,FL,41923,537681
20200511,FL,40982,520075
20200510,FL,40596,498352
20200509,FL,40001,487730
20200508,FL,39199,474142
20200507,FL,38828,454122
20200506,FL,38002,442049
20200505,FL,37439,428252
20200504,FL,36897,407373
20200503,FL,36078,392111
20200502,FL,35463,380549
20200501,FL,34728,367971
20200430,FL,33690,348715
20200429,FL,33193,340295
20200428,FL,32846,334029
20200427,FL,32138,324325
20200426,FL,31528,313085
20200425,FL,30839,302260
20200424,FL,30174,286785
20200423,FL,28832,267876
20200422,FL,28309,260318
20200421,FL,27495,249564
20200420,FL,26660,239565
20200419,FL,25996,230083
20200418,FL,25269,221258
20200417,FL,24119,210718
20200416,FL,22897,196351
20200415,FL,22511,190998
20200414,FL,21367,181813
20200413,FL,20601,175606
20200412,FL,19355,163398
20200411,FL,18494,154439
20200410,FL,17531,145299
20200409,FL,16364,136185
20200408,FL,15455,127679
20200407,FL,14747,123415
20200406,FL,13324,109950
20200405,FL,12151,101253
20200404,FL,11111,90956
20200403,FL,9585,82137
20200402,FL,8010,69286
20200401,FL,6955,59529
20200331,FL,6338,54285
20200330,FL,5473,48225
20200329,FL,4246,39070
20200328,FL,3763,35366
20200327,FL,2765,28186
20200326,FL,2355,23741
20200325,FL,1682,15374
20200324,FL,1412,13127
20200323,FL,1171,11063
20200322,FL,830,7990
20200321,FL,658,6579
20200320,FL,520,1870
20200319,FL,390,1533
20200318,FL,314,1225
20200317,FL,186,940
20200316,FL,141,684
20200315,FL,116,678
20200314,FL,77,478
20200313,FL,50,478
20200312,FL,32,301
20200311,FL,28,301
20200310,FL,19,222
20200309,FL,18,140
20200308,FL,17,118
20200307,FL,14,100
20200306,FL,9,55
20200305,FL,9,31
20200304,FL,2,24
