date,state,positive
20200717,RI,17793
20200716,RI,17711
20200715,RI,17640
20200714,RI,17588
20200713,RI,17487
20200712,RI,17312
20200711,RI,17312
20200710,RI,17312
20200709,RI,17243
20200708,RI,17204
20200707,RI,17204
20200706,RI,17163
20200705,RI,17108
20200704,RI,17084
20200703,RI,17057
20200702,RI,17035
20200701,RI,16976
20200630,RI,16911
20200629,RI,16871
20200628,RI,16835
20200627,RI,16813
20200626,RI,16777
20200625,RI,16708
20200624,RI,16663
20200623,RI,16612
20200622,RI,16535
20200621,RI,16476
20200620,RI,16449
20200619,RI,16413
20200618,RI,16354
20200617,RI,16283
20200616,RI,16232
20200615,RI,16180
20200614,RI,16104
20200613,RI,16072
20200612,RI,16023
20200611,RI,15942
20200610,RI,15855
20200609,RI,15751
20200608,RI,15683
20200607,RI,15638
20200606,RI,15589
20200605,RI,15521
20200604,RI,15416
20200603,RI,15299
20200602,RI,15194
20200601,RI,15087
20200531,RI,14988
20200530,RI,14912
20200529,RI,14808
20200528,RI,14630
20200527,RI,14498
20200526,RI,14365
20200525,RI,14211
20200524,RI,14141
20200523,RI,14057
20200522,RI,13949
20200521,RI,13748
20200520,RI,13579
20200519,RI,13392
20200518,RI,13177
20200517,RI,13040
20200516,RI,12915
20200515,RI,12663
20200514,RI,12431
20200513,RI,12203
20200512,RI,12007
20200511,RI,11788
20200510,RI,11613
20200509,RI,11427
20200508,RI,11141
20200507,RI,10910
20200506,RI,10639
20200505,RI,10297
20200504,RI,9994
20200503,RI,9703
20200502,RI,9522
20200501,RI,9333
20200430,RI,9016
20200429,RI,8668
20200428,RI,8296
20200427,RI,7972
20200426,RI,7769
20200425,RI,7493
20200424,RI,7188
20200423,RI,6773
20200422,RI,6354
20200421,RI,5972
20200420,RI,5585
20200419,RI,5207
20200418,RI,4868
20200417,RI,4585
20200416,RI,4295
20200415,RI,3903
20200414,RI,3596
20200413,RI,3329
20200412,RI,3142
20200411,RI,2853
20200410,RI,2573
20200409,RI,2169
20200408,RI,1890
20200407,RI,1617
20200406,RI,1356
20200405,RI,1150
20200404,RI,968
20200403,RI,831
20200402,RI,730
20200401,RI,668
20200331,RI,568
20200330,RI,495
20200329,RI,417
20200328,RI,312
20200327,RI,248
20200326,RI,217
20200325,RI,176
20200324,RI,148
20200323,RI,129
20200322,RI,113
20200321,RI,88
20200320,RI,74
20200319,RI,61
20200318,RI,44
20200317,RI,33
20200316,RI,22
20200315,RI,20
20200314,RI,19
20200313,RI,19
20200312,RI,13
20200311,RI,5
20200310,RI,5
20200309,RI,4
20200308,RI,3
20200307,RI,3
20200306,RI,3
20200305,RI,3
20200304,RI,2
20200303,RI,2
20200302,RI,2
20200301,RI,2
